strategy_name,min_player_edge,max_player_edge,average_player_edge
Dealer,-5.941,-5.0415,-5.5249
Basic Strategy Section 1,-3.693,-2.887,-3.2409
Basic Strategy Section 2,-2.994721733493842,-1.4578783728763371,-1.9910828198038355
Basic Strategy Section 3,-1.4599106084101068,-0.8311397316671069,-1.1851541485878048
Basic Strategy Section 4,-1.0744227075542938,-0.3539895393591835,-0.6262707845854043
Hi-Lo Card Count,-0.7020574581835747,3.5444560317567113,1.2236792276030095
