decks,penetration,average_player_edge
1,0.5,0.020443992456872596
1,0.75,0.02873948053094321
1,0.85,0.03577945659041322
2,0.5,0.014812709156524183
2,0.75,0.02038187847083904
2,0.85,0.024093751715146525
4,0.5,0.01261700246582425
4,0.75,0.009833952589825024
4,0.85,0.01395678868718987
6,0.5,-0.0001551533397790951
6,0.75,0.007460297615854578
6,0.85,0.009384079436718649
8,0.5,-0.0021375119329583407
8,0.75,0.012283122321517423
8,0.85,0.012832155919778472
